feature,importance
num__lat_ms,27.585567610304548
num__loss_ratio,14.275350283233005
num__pdr,11.536310077655363
num__pdr_mean3,10.72797557092972
num__lambda,9.065849399720497
num__throughput_bps,6.505279695423988
num__throughput_kbps_mean3,3.9121509229675557
num__lat_ms_mean3,3.000310651946383
num__vazao_rec_servidor_media_bps,2.8791329241710675
cat__arquivo_origem_metricas_v10_ci_g_fn.csv,1.5987627809946372
cat__cenario_fn,1.5213591955062764
num__lat_ms_std3,1.0597700454106904
num__pdr_delta,0.8516334469254189
cat__app_g,0.608164969580908
num__pdr_std3,0.5520797275638264
num__time_block,0.4688439213943646
num__throughput_kbps_delta,0.445692672107919
cat__arquivo_origem_metricas_v10_ci_s_fs.csv,0.4340944243400638
cat__categoria_hbmlmp,0.399871381291712
num__lat_ms_delta,0.3369172521165051
cat__app_e,0.2917662307978724
cat__arquivo_origem_metricas_v10_ci_e2_fs.csv,0.1917655412746439
cat__group_id_e_5,0.15392703460433052
cat__app_s,0.13690353755001938
num__vazao_env_carro_media_bps,0.13263315006497228
cat__group_id_e_6,0.1319191573642812
cat__group_id_e2_6,0.12535752062533817
cat__arquivo_origem_metricas_v10_ci_e_fs.csv,0.09458646839085773
cat__timestamp_sec_str_1987-10-05 11:06:00 UTC,0.07949860922833163
num__vazao_env_carro_total_bps,0.07180574577851012
cat__arquivo_origem_metricas_v10_ci_g_fs.csv,0.06316390020639609
cat__timestamp_sec_str_1987-10-05 11:06:15 UTC,0.06168533397467386
cat__timestamp_sec_str_1987-10-05 11:06:06 UTC,0.042903028899589586
cat__timestamp_1987-10-05 11:04:38+00:00,0.04256951190714537
num__n_carros,0.03565448958750686
cat__group_id_s_4,0.03487452998353947
cat__timestamp_1987-10-05 11:04:48+00:00,0.03478214703497483
cat__timestamp_1987-10-05 11:06:00+00:00,0.02893406314345573
cat__timestamp_1987-10-05 11:05:46+00:00,0.028071015889819424
cat__timestamp_sec_str_1987-10-05 11:04:38 UTC,0.026357369598287793
cat__timestamp_sec_str_1987-10-05 11:04:48 UTC,0.02635641161182309
cat__timestamp_sec_str_1987-10-05 11:06:25 UTC,0.023744375504526186
cat__timestamp_1987-10-05 11:06:15+00:00,0.02105218723981477
cat__timestamp_sec_str_1987-10-05 11:05:46 UTC,0.019246121166250005
cat__timestamp_sec_str_1987-10-05 11:05:17 UTC,0.018436198028928368
cat__timestamp_sec_str_1987-10-05 11:08:00 UTC,0.016182936302305148
cat__timestamp_1987-10-05 11:05:41+00:00,0.015730938957490392
cat__timestamp_1987-10-05 11:06:06+00:00,0.015411012765171797
cat__timestamp_sec_str_1987-10-05 11:07:37 UTC,0.014987305605021668
num__throughput_kbps_std3,0.014737079361963385
cat__timestamp_sec_str_1987-10-05 11:07:35 UTC,0.013478618154104163
