feature,importance
num__pdr,0.2660447108005756
num__loss_ratio,0.18297523517575137
num__lat_ms,0.15313059449060298
num__vazao_rec_servidor_media_bps,0.11218240060588171
num__lat_ms_mean3,0.08733438685879097
num__pdr_mean3,0.05112160526906675
num__lambda,0.03171103853760033
cat__arquivo_origem_metricas_v10_ci_g_fn.csv,0.016605233557665064
num__thr_util,0.011694364414857354
num__throughput_kbps,0.01090271478450956
num__throughput_bps,0.010688147626004245
num__lat_ms_std3,0.010428228760041954
cat__app_g,0.009140237474160146
cat__categoria_lblllp,0.008915947759405993
cat__app_s,0.006148409978782279
num__throughput_kbps_mean3,0.005402639446257997
cat__categoria_mbclcp,0.00468761079469427
num__n_carros,0.0028130040976050985
num__vazao_env_carro_total_bps,0.0024325935924740037
num__lat_ms_delta,0.002114986301221946
num__vazao_env_carro_media_bps,0.0012298864493203768
cat__group_id_e2_0,0.0009421714512693158
num__pdr_delta,0.0009201851471994355
num__pdr_std3,0.0008844844674148685
cat__arquivo_origem_metricas_v10_ci_e2_fn.csv,0.0008310343442003204
num__time_block,0.0007927990144288444
cat__cenario_fs,0.0006918879734295534
cat__arquivo_origem_metricas_v10_ci_e2_fs.csv,0.0006307072510876834
num__throughput_kbps_delta,0.0004730397968327823
cat__arquivo_origem_metricas_v10_ci_s_fn.csv,0.00046917195089702973
num__throughput_kbps_std3,0.00046101372230274715
cat__arquivo_origem_metricas_v10_ci_e_fs.csv,0.00044597281430159343
cat__app_e,0.00042146600276323165
cat__categoria_mbmlhp,0.00036168307895838574
cat__group_id_g_6,0.0003610542192626742
cat__cenario_fn,0.00031157558177073805
cat__group_id_g_7,0.0002482942236729768
cat__group_id_s_7,0.00022934390650129226
cat__group_id_e_6,0.00019722606621585186
cat__app_e2,0.00017137890752196494
cat__categoria_hbmlmp,0.00015865716650502064
cat__group_id_s_4,0.0001523139519344515
cat__cenario_fq,0.00014948505658694852
cat__group_id_e2_3,0.00012079205339839686
cat__arquivo_origem_metricas_v10_ci_s_fs.csv,0.00010242129035718586
cat__group_id_g_0,0.00010043268944447843
cat__group_id_e_5,7.545191111963692e-05
cat__arquivo_origem_metricas_v10_ci_e2_fq.csv,5.9683522683068835e-05
cat__timestamp_sec_str_1987-10-05 11:04:05 UTC,5.758463343990977e-05
