feature,importance
lat_ms,0.23369187378817904
pdr,0.17219395769298332
categoria,0.10085301177809225
throughput_kbps_mean3,0.07213320381045743
pdr_mean3,0.06779423196975583
throughput_bps,0.06227177748255141
loss_ratio,0.05657976389013694
throughput_kbps,0.04089304125690129
app,0.029813187625524616
vazao_env_carro_media_bps,0.020833387507688195
time_block,0.019081742526773447
lat_ms_std3,0.017124189664000086
arquivo_origem,0.013417444874070643
lat_ms_mean3,0.012970421704852915
n_carros,0.011867615048811913
pdr_delta,0.011626323195508763
thr_util,0.011049460325880472
timestamp,0.009299414795015821
vazao_rec_servidor_media_bps,0.008996530850625347
throughput_kbps_std3,0.007742309210763344
throughput_kbps_delta,0.006236794429273111
lat_ms_delta,0.004927036115064495
vazao_env_carro_total_bps,0.004351335832474933
group_id,0.0032332089200296215
timestamp_sec_str,0.0010187357045846786
lambda,0.0
pdr_std3,0.0
cenario,0.0
