"timestamp_sec_str","app","cenario","carros_ativos","vazao_env_carro_total_bps","vazao_env_carro_media_bps","vazao_rec_servidor_total_bps","vazao_rec_servidor_media_bps","rtt_medio_ms","rtt_medio_ms_interpolated","pdr_inst_pacotes","conf_inst_bits","pdr_cum_pacotes","conf_cum_bits"
"1987-10-05 11:01:38 UTC","E2","FN",2,1893472,946736,0,0,2264.5,2264.5,0,0,0,0
"1987-10-05 11:01:39 UTC","E2","FN",2,1977360,988680,0,0,2276,2276,0,0,0,0
"1987-10-05 11:01:40 UTC","E2","FN",2,1989344,994672,0,0,2285,2285,0,0,0,0
"1987-10-05 11:01:41 UTC","E2","FN",2,1989344,994672,994672,497336,2269,2269,0.5,0.5,0.126717557251908,0.126717557251908
"1987-10-05 11:01:42 UTC","E2","FN",2,1977360,988680,994672,497336,2265,2265,0.503030303030303,0.503030303030303,0.202439024390244,0.202439024390244
"1987-10-05 11:01:43 UTC","E2","FN",2,1977360,988680,1977360,988680,2261.25,2261.25,1,1,0.336040609137056,0.336040609137056
"1987-10-05 11:01:44 UTC","E2","FN",2,1989344,994672,1977360,988680,NA,2263.375,0.993975903614458,0.993975903614458,0.430929626411816,0.430929626411816
"1987-10-05 11:01:45 UTC","E2","FN",2,1989344,994672,1989344,994672,2265.5,2265.5,1,1,0.502657555049355,0.502657555049355
"1987-10-05 11:01:46 UTC","E2","FN",2,1977360,988680,1977360,988680,2273.33333333333,2273.33333333333,1,1,0.558029689608637,0.558029689608637
"1987-10-05 11:01:47 UTC","E2","FN",2,1977360,988680,1977360,988680,2280,2280,1,1,0.602307225258045,0.602307225258045
"1987-10-05 11:01:48 UTC","E2","FN",2,1989344,994672,1989344,994672,2277.66666666667,2277.66666666667,1,1,0.638720353006067,0.638720353006067
"1987-10-05 11:01:49 UTC","E2","FN",2,1989344,994672,1965376,982688,2273,2273,0.987951807228916,0.987951807228916,0.668014148559879,0.668014148559879
"1987-10-05 11:01:50 UTC","E2","FN",5,4829552,965910.4,1989344,397868.8,2278,2278,0.411910669975186,0.411910669975186,0.624685138539043,0.624685138539043
"1987-10-05 11:01:51 UTC","E2","FN",5,4949392,989878.4,1989344,397868.8,2283.33333333333,2283.33333333333,0.401937046004843,0.401937046004843,0.591771019677996,0.591771019677996
"1987-10-05 11:01:52 UTC","E2","FN",5,4937408,987481.6,1989344,397868.8,NA,2280.41666666667,0.402912621359223,0.402912621359223,0.567508574992205,0.567508574992205
"1987-10-05 11:01:53 UTC","E2","FN",5,4913440,982688,2109184,421836.8,2277.5,2277.5,0.429268292682927,0.429268292682927,0.551838540226707,0.551838540226707
"1987-10-05 11:01:54 UTC","E2","FN",5,4937408,987481.6,2588544,517708.8,2273.75,2273.75,0.524271844660194,0.524271844660194,0.549019607843137,0.549019607843137
"1987-10-05 11:01:55 UTC","E2","FN",5,4937408,987481.6,2600528,520105.6,2269,2269,0.526699029126214,0.526699029126214,0.546948885386174,0.546948885386174
"1987-10-05 11:01:56 UTC","E2","FN",5,4925424,985084.8,2588544,517708.8,2267.25,2267.25,0.525547445255474,0.525547445255474,0.545136026380874,0.545136026380874
"1987-10-05 11:01:57 UTC","E2","FN",5,4949392,989878.4,2600528,520105.6,2262,2262,0.525423728813559,0.525423728813559,0.543589743589744,0.543589743589744
