"timestamp_sec_str","app","cenario","carros_ativos","vazao_env_carro_total_bps","vazao_env_carro_media_bps","vazao_rec_servidor_total_bps","vazao_rec_servidor_media_bps","rtt_medio_ms","rtt_medio_ms_interpolated","pdr_inst_pacotes","conf_inst_bits","pdr_cum_pacotes","conf_cum_bits"
"1987-10-05 11:01:26 UTC","G","FS",1,479360,479360,0,0,23817,23817,0,0,0,0
"1987-10-05 11:01:27 UTC","G","FS",1,503328,503328,0,0,NA,23844.3333333333,0,0,0,0
"1987-10-05 11:01:28 UTC","G","FS",1,491344,491344,0,0,NA,23871.6666666667,0,0,0,0
"1987-10-05 11:01:29 UTC","G","FS",1,503328,503328,0,0,NA,23899,0,0,0,0
"1987-10-05 11:01:30 UTC","G","FS",1,491344,491344,0,0,NA,23926.3333333333,0,0,0,0
"1987-10-05 11:01:31 UTC","G","FS",1,503328,503328,527296,527296,NA,23953.6666666667,1,1,0.17741935483871,0.17741935483871
"1987-10-05 11:01:32 UTC","G","FS",1,491344,491344,503328,503328,23981,23981,1,1,0.29757785467128,0.29757785467128
"1987-10-05 11:01:33 UTC","G","FS",1,491344,491344,491344,491344,NA,23978.6,1,1,0.384848484848485,0.384848484848485
"1987-10-05 11:01:34 UTC","G","FS",1,503328,503328,503328,503328,NA,23976.2,1,1,0.454301075268817,0.454301075268817
"1987-10-05 11:01:35 UTC","G","FS",1,491344,491344,491344,491344,NA,23973.8,1,1,0.508474576271186,0.508474576271186
"1987-10-05 11:01:36 UTC","G","FS",1,503328,503328,503328,503328,NA,23971.4,1,1,0.553846153846154,0.553846153846154
"1987-10-05 11:01:37 UTC","G","FS",1,503328,503328,491344,491344,23969,23969,0.976190476190476,0.976190476190476,0.58953722334004,0.58953722334004
"1987-10-05 11:01:38 UTC","G","FS",5,2396800,479360,491344,98268.8,23962,23962,0.205,0.205,0.479196556671449,0.479196556671449
"1987-10-05 11:01:39 UTC","G","FS",5,2492672,498534.4,503328,100665.6,NA,23984.5,0.201923076923077,0.201923076923077,0.415469613259669,0.415469613259669
"1987-10-05 11:01:40 UTC","G","FS",5,2480688,496137.6,503328,100665.6,24007,24007,0.202898550724638,0.202898550724638,0.37589928057554,0.37589928057554
"1987-10-05 11:01:41 UTC","G","FS",5,2480688,496137.6,491344,98268.8,NA,23998.5,0.198067632850242,0.198067632850242,0.347990902198635,0.347990902198635
"1987-10-05 11:01:42 UTC","G","FS",5,2468704,493740.8,503328,100665.6,23990,23990,0.203883495145631,0.203883495145631,0.328524590163934,0.328524590163934
"1987-10-05 11:01:43 UTC","G","FS",5,2492672,498534.4,623168,124633.6,NA,24013.6666666667,0.25,0.25,0.319099826889786,0.319099826889786
"1987-10-05 11:01:44 UTC","G","FS",5,2492672,498534.4,886816,177363.2,NA,24037.3333333333,0.355769230769231,0.355769230769231,0.323029366306028,0.323029366306028
"1987-10-05 11:01:45 UTC","G","FS",5,2468704,493740.8,934752,186950.4,NA,24061,0.378640776699029,0.378640776699029,0.328365160689334,0.328365160689334
"1987-10-05 11:01:46 UTC","G","FS",5,2492672,498534.4,275632,55126.4,NA,24084.6666666667,0.110576923076923,0.110576923076923,0.309129511677282,0.309129511677282
"1987-10-05 11:01:47 UTC","G","FS",5,2480688,496137.6,251664,50332.8,NA,24108.3333333333,0.101449275362319,0.101449275362319,0.292349726775956,0.292349726775956
"1987-10-05 11:01:48 UTC","G","FS",5,2492672,498534.4,275632,55126.4,24132,24132,0.110576923076923,0.110576923076923,0.27870036101083,0.27870036101083
"1987-10-05 11:01:49 UTC","G","FS",5,2480688,496137.6,263648,52729.6,24117,24117,0.106280193236715,0.106280193236715,0.26671145448438,0.26671145448438
"1987-10-05 11:01:50 UTC","G","FS",5,2492672,498534.4,275632,55126.4,24188,24188,0.110576923076923,0.110576923076923,0.256514913657771,0.256514913657771
"1987-10-05 11:01:51 UTC","G","FS",5,2468704,493740.8,263648,52729.6,NA,24190.6666666667,0.106796116504854,0.106796116504854,0.247419640224123,0.247419640224123
