"timestamp_sec_str","app","cenario","carros_ativos","vazao_env_carro_total_bps","vazao_env_carro_media_bps","vazao_rec_servidor_total_bps","vazao_rec_servidor_media_bps","rtt_medio_ms","rtt_medio_ms_interpolated","pdr_inst_pacotes","conf_inst_bits","pdr_cum_pacotes","conf_cum_bits"
"1987-10-05 11:01:38 UTC","S","FN",2,958720,479360,0,0,0.9338,0.9338,0,0,0,0
"1987-10-05 11:01:39 UTC","S","FN",2,994672,497336,0,0,0.8308,0.8308,0,0,0,0
"1987-10-05 11:01:40 UTC","S","FN",2,1006656,503328,0,0,0.7162,0.7162,0,0,0,0
"1987-10-05 11:01:41 UTC","S","FN",2,982688,491344,503328,251664,0.797,0.797,0.51219512195122,0.51219512195122,0.127659574468085,0.127659574468085
"1987-10-05 11:01:42 UTC","S","FN",2,1006656,503328,503328,251664,0.7322,0.7322,0.5,0.5,0.203389830508475,0.203389830508475
"1987-10-05 11:01:43 UTC","S","FN",2,982688,491344,994672,497336,0.606,0.606,1,1,0.337373737373737,0.337373737373737
"1987-10-05 11:01:44 UTC","S","FN",2,1006656,503328,994672,497336,3.8544,3.8544,0.988095238095238,0.988095238095238,0.431778929188256,0.431778929188256
"1987-10-05 11:01:45 UTC","S","FN",2,994672,497336,994672,497336,0.7654,0.7654,1,1,0.503021148036254,0.503021148036254
"1987-10-05 11:01:46 UTC","S","FN",2,994672,497336,994672,497336,0.9292,0.9292,1,1,0.558389261744966,0.558389261744966
"1987-10-05 11:01:47 UTC","S","FN",2,994672,497336,994672,497336,0.5802,0.5802,1,1,0.602657004830918,0.602657004830918
"1987-10-05 11:01:48 UTC","S","FN",2,994672,497336,994672,497336,0.8518,0.8518,1,1,0.638858397365532,0.638858397365532
"1987-10-05 11:01:49 UTC","S","FN",2,982688,491344,994672,497336,0.7924,0.7924,1,1,0.66968781470292,0.66968781470292
"1987-10-05 11:01:50 UTC","S","FN",5,2432752,486550.4,1006656,201331.2,1.0708,1.0708,0.413793103448276,0.413793103448276,0.626254180602007,0.626254180602007
"1987-10-05 11:01:51 UTC","S","FN",5,2468704,493740.8,982688,196537.6,0.5824,0.5824,0.398058252427184,0.398058252427184,0.592724679029957,0.592724679029957
"1987-10-05 11:01:52 UTC","S","FN",5,2504656,500931.2,1006656,201331.2,1.3658,1.3658,0.401913875598086,0.401913875598086,0.567970204841713,0.567970204841713
"1987-10-05 11:01:53 UTC","S","FN",5,2456720,491344,1102528,220505.6,1.8158,1.8158,0.448780487804878,0.448780487804878,0.554515418502203,0.554515418502203
"1987-10-05 11:01:54 UTC","S","FN",5,2468704,493740.8,1509984,301996.8,0.7982,0.7982,0.611650485436893,0.611650485436893,0.560336300692384,0.560336300692384
"1987-10-05 11:01:55 UTC","S","FN",5,2504656,500931.2,1593872,318774.4,1.1772,1.1772,0.636363636363636,0.636363636363636,0.567458538771851,0.567458538771851
"1987-10-05 11:01:56 UTC","S","FN",5,2468704,493740.8,2097200,419440,2.2572,2.2572,0.849514563106796,0.849514563106796,0.591300779647107,0.591300779647107
"1987-10-05 11:01:57 UTC","S","FN",5,2516640,503328,2456720,491344,0.6465,0.6465,0.976190476190476,0.976190476190476,0.621836040800907,0.621836040800907
"1987-10-05 11:01:58 UTC","S","FN",5,2468704,493740.8,2480688,496137.6,1.1032,1.1032,1,1,0.649491763056432,0.649491763056432
"1987-10-05 11:01:59 UTC","S","FN",5,2480688,496137.6,2468704,493740.8,0.9414,0.9414,0.995169082125604,0.995169082125604,0.672875816993464,0.672875816993464
"1987-10-05 11:02:00 UTC","S","FN",5,2480688,496137.6,2492672,498534.4,0.7992,0.7992,1,1,0.693908784817876,0.693908784817876
"1987-10-05 11:02:01 UTC","S","FN",5,2468704,493740.8,2480688,496137.6,1.3488,1.3488,1,1,0.712352433054996,0.712352433054996
"1987-10-05 11:02:02 UTC","S","FN",5,2480688,496137.6,2480688,496137.6,0.4332,0.4332,1,1,0.728532608695652,0.728532608695652
"1987-10-05 11:02:03 UTC","S","FN",5,2492672,498534.4,2492672,498534.4,0.9678,0.9678,1,1,0.743055555555556,0.743055555555556
